transaction_date,account_id,amount,currency,description,category
2024-01-01,ACCT-CN-041,-440157.0,CNY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-01,ACCT-DE-016,-242901.63,EUR,OTHER - 2024-01,OTHER
2024-01-01,ACCT-GB-034,102853.56,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-01,ACCT-MX-031,-2793861.6,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-DE-015,-85061.94,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-DE-015,-187978.92,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-US-009,-280151.97,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-DE-013,-450518.32,EUR,SALARY - 2024-01,SALARY
2024-01-01,ACCT-BR-023,-922715.64,BRL,SALARY - 2024-01,SALARY
2024-01-01,ACCT-JP-003,-15965261.43,JPY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-JP-001,-13729926.39,JPY,RENT - 2024-01,RENT
2024-01-01,ACCT-JP-005,-44779493.65,JPY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-01,ACCT-US-006,473107.58,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-01,ACCT-MX-031,-2405727.54,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-MX-032,105723.92,MXN,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-01,ACCT-BR-020,-253824.49,BRL,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-01,ACCT-SG-036,324202.35,SGD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-01,ACCT-DE-018,-212407.16,EUR,SALARY - 2024-01,SALARY
2024-01-01,ACCT-MX-029,3828282.86,MXN,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-01,ACCT-IN-024,-9773411.32,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-01,ACCT-DE-013,-188519.59,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-02,ACCT-US-011,254640.18,USD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-02,ACCT-GB-033,-389884.75,GBP,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-02,ACCT-SG-036,-207251.1,SGD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-02,ACCT-SG-036,-157099.34,SGD,OTHER - 2024-01,OTHER
2024-01-02,ACCT-BR-019,-1020001.47,BRL,RENT - 2024-01,RENT
2024-01-02,ACCT-CN-041,320867.08,CNY,INVESTMENT - 2024-01,INVESTMENT
2024-01-02,ACCT-CN-041,158881.26,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-02,ACCT-DE-018,172269.58,EUR,INVESTMENT - 2024-01,INVESTMENT
2024-01-02,ACCT-IN-025,-13052910.39,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-02,ACCT-JP-004,49966497.14,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-02,ACCT-BR-022,1022880.1,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-02,ACCT-AU-038,-393320.93,AUD,RENT - 2024-01,RENT
2024-01-02,ACCT-IN-028,-13032552.9,INR,RENT - 2024-01,RENT
2024-01-02,ACCT-MX-032,-2435609.71,MXN,SALARY - 2024-01,SALARY
2024-01-02,ACCT-IN-028,-10593645.11,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-02,ACCT-DE-016,-243669.54,EUR,OTHER - 2024-01,OTHER
2024-01-03,ACCT-IN-027,-5246542.43,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-DE-018,-96031.51,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-DE-013,-602499.54,EUR,SALARY - 2024-01,SALARY
2024-01-03,ACCT-BR-020,-387176.07,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-GB-033,-130593.53,GBP,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-CN-042,-159662.56,CNY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-IN-025,-4840951.79,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-IN-024,-1729641.25,INR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-JP-005,-16365181.47,JPY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-JP-005,-94772156.22,JPY,SALARY - 2024-01,SALARY
2024-01-03,ACCT-MX-031,-263368.6,MXN,TAX - 2024-01,TAX
2024-01-03,ACCT-JP-005,20986361.42,JPY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-03,ACCT-JP-005,-11952863.29,JPY,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-MX-031,-2198809.53,MXN,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-IN-024,-2316239.93,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-BR-020,926982.28,BRL,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-03,ACCT-DE-013,-440789.51,EUR,SALARY - 2024-01,SALARY
2024-01-03,ACCT-CN-041,393820.42,CNY,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-03,ACCT-GB-034,-36647.06,GBP,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-IN-028,-18403124.92,INR,RENT - 2024-01,RENT
2024-01-03,ACCT-US-012,-185963.87,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-US-008,-593370.06,USD,SALARY - 2024-01,SALARY
2024-01-03,ACCT-AU-037,-13660.88,AUD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-IN-026,-16608692.09,INR,TAX - 2024-01,TAX
2024-01-03,ACCT-BR-022,-1789084.99,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-US-008,-433087.14,USD,OTHER - 2024-01,OTHER
2024-01-03,ACCT-SG-035,-297820.77,SGD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-US-007,-278986.35,USD,OTHER - 2024-01,OTHER
2024-01-03,ACCT-DE-016,-320350.35,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-03,ACCT-SG-036,348811.91,SGD,INVESTMENT - 2024-01,INVESTMENT
2024-01-03,ACCT-CN-041,-41308.72,CNY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-DE-017,-327560.47,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-MX-032,-3397417.6,MXN,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-DE-013,-73453.76,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-03,ACCT-JP-003,10967237.11,JPY,INVESTMENT - 2024-01,INVESTMENT
2024-01-04,ACCT-DE-014,330481.2,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-MX-030,4071388.87,MXN,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-DE-018,-389018.9,EUR,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-DE-016,-338232.87,EUR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-04,ACCT-JP-002,-71051192.2,JPY,SALARY - 2024-01,SALARY
2024-01-04,ACCT-IN-024,-18821858.2,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-04,ACCT-US-010,-58463.18,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-DE-017,-150394.57,EUR,TAX - 2024-01,TAX
2024-01-04,ACCT-GB-033,472801.1,GBP,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-DE-013,19535.02,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-DE-017,-210063.68,EUR,RENT - 2024-01,RENT
2024-01-04,ACCT-DE-016,61464.9,EUR,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-MX-031,2605525.65,MXN,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-JP-003,9318166.41,JPY,INVESTMENT - 2024-01,INVESTMENT
2024-01-04,ACCT-IN-026,-12793298.6,INR,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-04,ACCT-US-011,-135801.51,USD,INTERCOMPANY - 2024-01,INTERCOMPANY
2024-01-04,ACCT-AU-039,-348892.01,AUD,SALARY - 2024-01,SALARY
2024-01-04,ACCT-BR-020,-138645.49,BRL,TAX - 2024-01,TAX
2024-01-04,ACCT-DE-014,-117864.0,EUR,TAX - 2024-01,TAX
2024-01-04,ACCT-SG-035,392702.94,SGD,AR_RECEIPT - 2024-01,AR_RECEIPT
2024-01-04,ACCT-BR-021,-224924.51,BRL,SALARY - 2024-01,SALARY
2024-01-04,ACCT-US-007,-477772.38,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-US-006,-227107.21,USD,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-DE-013,-309289.79,EUR,TAX - 2024-01,TAX
2024-01-04,ACCT-US-008,-753504.84,USD,SALARY - 2024-01,SALARY
2024-01-04,ACCT-CN-042,-342379.23,CNY,AP_PAYMENT - 2024-01,AP_PAYMENT
2024-01-04,ACCT-US-009,-835783.47,USD,SALARY - 2024-01,SALARY
2024-01-04,ACCT-US-008,-985381.77,USD,SALARY - 2024-01,SALARY
2024-01-04,ACCT-BR-019,-570517.79,BRL,AP_PAYMENT - 2024-01,AP_PAYMENT
